song_name,song_popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,audio_valence
wake up in the sky,0.92,0.0038242810248661097,0.8105369807497468,0.5781267223151925,0.0,0.36363636363636365,0.3569890267664855,0.833246598765891,0.0,0.05154091392136026,0.59017489414736,0.37296747967479676
está rico,0.8300000000000001,0.26706752249886845,0.8277608915906788,0.7404627579088714,0.0,1.0,0.09055481489078043,0.8475701930463658,0.0,0.3007438894792774,0.5366501869444283,0.684959349593496
banana clip - spanish version,0.5700000000000001,0.10742880479656716,0.40324214792299906,0.6602968144058201,0.0,0.09090909090909091,0.11291149625679417,0.8213020097638342,0.0,0.1275239107332625,0.34594210912932594,0.7306910569105691
yakwtfgo (feat. kali uchis),0.44,0.003984923759660878,0.822695035460993,0.7484793522591765,0.0,0.4545454545454546,0.16726489590811197,0.8130498352043218,0.0,0.1477151965993624,0.544883170049274,0.16056910569105692
come with me,0.47000000000000003,0.05281027496634585,0.6676798378926039,0.7344503121461425,2.4874623871614842e-06,0.9090909090909092,0.2370013331965952,0.8613981612271702,1.0,0.04888416578108396,0.668423311516272,0.3516260162601626
como si na,0.54,0.2329309413549801,0.7142857142857143,0.7785415810728208,0.0,0.8181818181818182,0.2390524048815506,0.8590934998637029,0.0,0.1880977683315622,0.6606979258660107,0.7205284552845529
blah,0.47000000000000003,0.02560141176048192,0.7325227963525837,0.6873528203381,0.00020762286860581745,1.0,0.11598810378422726,0.8459346269174535,0.0,0.21253985122210417,0.7170206092820178,0.7896341463414636
love n hennessy remix (feat. 2 chainz & nicky jam),0.64,0.025802215178975386,0.9402228976697062,0.4017616466084796,0.0,0.7272727272727273,0.07127474105219977,0.7731519341808539,0.0,0.4792773645058449,0.5777449467229012,0.6300813008130082
mi infinita,0.56,0.9056223933080735,0.4711246200607903,0.6753279288126423,0.2678034102306921,0.9090909090909092,0.10163060198953953,0.7734988724506233,1.0,0.05154091392136026,0.49497354715704156,0.13109756097560976
coqueta,0.49,0.5732927357013959,0.6403242147923,0.652280220055515,0.8525576730190572,0.36363636363636365,0.18777561275766588,0.6990806135851114,1.0,0.03209351753453773,0.47471091705940127,0.6036585365853658
sola,0.65,0.9246987180649523,0.47720364741641336,0.178299079093724,0.0,0.8181818181818182,0.09240077940724029,0.7061432855054147,1.0,0.09458023379383636,0.7191913105918668,0.19715447154471546
nuestro planeta (feat. reykon),0.52,0.0860432407270136,0.8824721377912867,0.5450582706201839,0.0005005015045135406,0.0,0.06635216900830684,0.8004857135776771,0.0,0.06641870350690755,0.3963180613904043,0.4217479674796748
hijo de su madre,0.61,0.0648584800759535,0.839918946301925,0.6061848025412604,0.3921765295887663,0.4545454545454546,0.2769972310532253,0.7849478353530097,1.0,0.1583421891604676,0.4871738789524509,0.7439024390243902
lento,0.65,0.14959752268019388,0.8480243161094225,0.6492739971741506,7.65295887662989e-05,1.0,0.09445185109219567,0.8303719673878026,0.0,0.20403825717322,0.6768048597297766,0.9634146341463415
dicen,0.77,0.13754931757058628,0.8277608915906788,0.6352449570611165,7.873620862587762e-06,0.4545454545454546,0.24007794072402827,0.8189973484003668,0.0,0.1466524973432519,0.4251809605559636,0.7896341463414636
bebe,0.9500000000000001,0.17268991580694187,0.6433637284701115,0.9027987935025503,0.0,0.0,0.11701363962670495,0.8725249671647709,1.0,0.11583421891604677,0.4211944634736173,0.29065040650406504
i like it,0.9500000000000001,0.09939666805682874,0.8267477203647416,0.7264337177958374,0.0,0.4545454545454546,0.3703209927186955,0.8616459742770054,0.0,0.1370882040382572,0.5614440528561642,0.660569105691057
zooted (feat. french montana & farruko),0.74,0.2680715395913358,0.8257345491388045,0.6262262884170232,1.3139418254764293e-05,0.5454545454545454,0.27084401599835917,0.8333705052908086,1.0,0.10945802337938364,0.4539035482300118,0.5802845528455285
havana - remix,0.77,0.39959777870455254,0.7608915906788247,0.5791287966089805,2.2868605817452355e-05,0.18181818181818182,0.1252179263665265,0.8607042846876316,1.0,0.03411264612114771,0.43344283132082634,0.3546747967479675
pum pum,0.45,0.07519985612836672,0.745694022289767,0.9068070906777029,0.000123370110330993,0.36363636363636365,0.11188596041431648,0.9237974871756747,0.0,0.06014877789585548,0.383846845880207,0.6209349593495935
quiero saber,0.52,0.0024588177791105767,0.7041540020263425,0.8186245528243464,3.370110330992979e-06,0.5454545454545454,0.30161009127268995,0.8236314524322851,0.0,0.0512221041445271,0.42496223970154917,0.608739837398374
como,0.38,0.0032419511112350735,0.5501519756838906,0.8476847073442025,0.0,0.8181818181818182,0.0453286842375141,0.8721532475900181,1.0,0.07003188097768333,0.3798562219892868,0.660569105691057
anywhere contigo,0.46,0.27208760796120496,0.8520770010131713,0.8416722615814737,2.6078234704112336e-05,0.8181818181818182,0.09957953030458415,0.8544593958317845,1.0,0.06726886291179597,0.42922935976691784,0.8363821138211383
no gratis,0.44,0.4267062402011697,0.7872340425531915,0.5460603449139719,0.0,0.6363636363636364,0.07178750897343862,0.7252001090377419,1.0,0.2199787460148778,0.6073547982403288,0.967479674796748
